"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 17 11:05:55 GMT 2024","Sun Nov 17 11:05:55 GMT 2024","96","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyTodosEndpoint","verifyTodosEndpoint()",""
"passed","Sun Nov 17 11:05:54 GMT 2024","Sun Nov 17 11:05:55 GMT 2024","103","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyPostsEndpoint","verifyPostsEndpoint()",""
"broken","Sun Nov 17 11:05:53 GMT 2024","Sun Nov 17 11:05:53 GMT 2024","30","","it.cantest.LoginTest","","it.cantest.LoginTest","testValidationError","testValidationError()",""
"passed","Sun Nov 17 11:05:53 GMT 2024","Sun Nov 17 11:05:54 GMT 2024","1287","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyUsersEndpoint","verifyUsersEndpoint()",""
"passed","Sun Nov 17 11:05:55 GMT 2024","Sun Nov 17 11:05:55 GMT 2024","90","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyAlbumsEndpoint","verifyAlbumsEndpoint()",""
"broken","Sun Nov 17 11:05:53 GMT 2024","Sun Nov 17 11:05:53 GMT 2024","30","","it.cantest.LoginTest","","it.cantest.LoginTest","testInvalidLoginDetails","testInvalidLoginDetails()",""
"passed","Sun Nov 17 11:05:55 GMT 2024","Sun Nov 17 11:05:55 GMT 2024","102","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyPhotosEndpoint","verifyPhotosEndpoint()",""
"broken","Sun Nov 17 11:05:51 GMT 2024","Sun Nov 17 11:05:53 GMT 2024","1786","","it.cantest.LoginTest","","it.cantest.LoginTest","testSuccessfulSignIn","testSuccessfulSignIn()",""
"passed","Sun Nov 17 11:05:55 GMT 2024","Sun Nov 17 11:05:55 GMT 2024","99","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyCommentsEndpoint","verifyCommentsEndpoint()",""
